order_id,fecha_pedido,fecha_entrega,mes,trimestre,semana_año,producto_categoria,zona_destino,carrier,estado,peso_kg,valor_mercaderia,costo_envio,costo_por_kg,costo_pct_valor,dias_prometidos,dias_reales,demora_dias,entrega_a_tiempo,es_devolucion
ORD-00001,2023-01-01 00:00:00.000000,2023-01-04 00:00:00.000000,1,1,2023-W52,Ferretería,Rosario,Rappi Envíos,Devuelto,1.87,2113.25,1049.4,561.18,49.66,2,3,1,False,True
ORD-00002,2023-01-01 03:30:16.923384,2023-01-03 03:30:16.923384,1,1,2023-W52,Farmacia,Rosario,Andreani,Entregado,0.51,785.79,1309.63,2567.9,166.66,1,2,1,False,False
ORD-00003,2023-01-01 07:00:33.846769,2023-01-08 07:00:33.846769,1,1,2023-W52,Alimentos,GBA Norte,OCA,Entregado,2.68,578.39,188.56,70.36,32.6,7,7,0,True,False
ORD-00004,2023-01-01 10:30:50.770154,2023-01-04 10:30:50.770154,1,1,2023-W52,Farmacia,Córdoba,Correo Argentino,Entregado,4.08,4031.79,343.55,84.2,8.52,5,3,-2,True,False
ORD-00005,2023-01-01 14:01:07.693538,2023-01-06 14:01:07.693538,1,1,2023-W52,Farmacia,GBA Oeste,PickIt,Entregado,7.46,289.39,755.85,101.32,261.19,5,5,0,True,False
ORD-00006,2023-01-01 17:31:24.616923,2023-01-03 17:31:24.616923,1,1,2023-W52,Indumentaria,GBA Oeste,Rappi Envíos,Entregado,5.71,6118.52,1451.9,254.27,23.73,3,2,-1,True,False
ORD-00007,2023-01-01 21:01:41.540308,2023-01-06 21:01:41.540308,1,1,2023-W52,Alimentos,Córdoba,Andreani,Entregado,2.14,5652.94,1954.26,913.21,34.57,3,5,2,False,False
ORD-00008,2023-01-02 00:31:58.463692,2023-01-08 00:31:58.463692,1,1,2023-W01,Alimentos,Córdoba,OCA,Devuelto,3.81,878.1,1763.26,462.8,200.8,5,6,1,False,True
ORD-00009,2023-01-02 04:02:15.387077,2023-01-07 04:02:15.387077,1,1,2023-W01,Alimentos,Córdoba,OCA,En tránsito,4.84,6536.77,1482.51,306.3,22.68,5,5,0,True,False
ORD-00010,2023-01-02 07:32:32.310462,2023-01-05 07:32:32.310462,1,1,2023-W01,Farmacia,GBA Sur,PickIt,Entregado,2.04,451.09,1083.5,531.13,240.2,5,3,-2,True,False
ORD-00011,2023-01-02 11:02:49.233846,2023-01-03 11:02:49.233846,1,1,2023-W01,Ferretería,GBA Oeste,OCA,Entregado,0.37,2963.39,2196.13,5935.49,74.11,2,1,-1,True,False
ORD-00012,2023-01-02 14:33:06.157231,2023-01-05 14:33:06.157231,1,1,2023-W01,Alimentos,Rosario,OCA,Entregado,1.73,1115.21,1230.47,711.25,110.34,3,3,0,True,False
ORD-00013,2023-01-02 18:03:23.080616,2023-01-07 18:03:23.080616,1,1,2023-W01,Farmacia,GBA Oeste,PickIt,Demorado,5.54,180.12,853.24,154.01,473.71,5,5,0,True,False
ORD-00014,2023-01-02 21:33:40.004000,2023-01-03 21:33:40.004000,1,1,2023-W01,Indumentaria,GBA Sur,Rappi Envíos,Entregado,2.72,583.47,1628.94,598.88,279.18,3,1,-2,True,False
ORD-00015,2023-01-03 01:03:56.927385,2023-01-07 01:03:56.927385,1,1,2023-W01,Ferretería,Córdoba,Correo Argentino,Entregado,3.87,921.03,1776.47,459.04,192.88,3,4,1,False,False
ORD-00016,2023-01-03 04:34:13.850770,2023-01-07 04:34:13.850770,1,1,2023-W01,Indumentaria,GBA Norte,Correo Argentino,Entregado,0.61,2389.9,1086.41,1781.0,45.46,3,4,1,False,False
ORD-00017,2023-01-03 08:04:30.774154,2023-01-08 08:04:30.774154,1,1,2023-W01,Ferretería,Córdoba,Andreani,Entregado,10.0,680.56,216.14,21.61,31.76,3,5,2,False,False
ORD-00018,2023-01-03 11:34:47.697539,2023-01-08 11:34:47.697539,1,1,2023-W01,Farmacia,Córdoba,Rappi Envíos,Entregado,1.55,834.52,371.21,239.49,44.48,5,5,0,True,False
ORD-00019,2023-01-03 15:05:04.620924,2023-01-05 15:05:04.620924,1,1,2023-W01,Electrónica,GBA Sur,Andreani,Entregado,3.18,1883.68,2137.16,672.06,113.46,2,2,0,True,False
ORD-00020,2023-01-03 18:35:21.544308,2023-01-07 18:35:21.544308,1,1,2023-W01,Ferretería,GBA Oeste,Correo Argentino,Entregado,0.1,1786.65,282.89,2828.9,15.83,5,4,-1,True,False
ORD-00021,2023-01-03 22:05:38.467693,2023-01-04 22:05:38.467693,1,1,2023-W01,Indumentaria,Córdoba,PickIt,Demorado,0.41,1000.52,1541.25,3759.15,154.04,2,1,-1,True,False
ORD-00022,2023-01-04 01:35:55.391078,2023-01-10 01:35:55.391078,1,1,2023-W01,Farmacia,GBA Oeste,OCA,Devuelto,4.57,810.1,581.72,127.29,71.81,7,6,-1,True,True
ORD-00023,2023-01-04 05:06:12.314462,2023-01-05 05:06:12.314462,1,1,2023-W01,Ferretería,CABA,Correo Argentino,Entregado,10.32,2805.41,687.98,66.66,24.52,2,1,-1,True,False
