order_id,fecha_pedido,producto_categoria,zona_destino,carrier,peso_kg,valor_mercaderia,costo_envio,dias_prometidos,estado,dias_reales,entrega_a_tiempo,fecha_entrega,mes,trimestre,semana
ORD-00001,2023-01-01 00:00:00.000000,Ferretería,Rosario,Rappi Envíos,1.87,2113.25,1049.4,2,Devuelto,3,False,2023-01-04 00:00:00.000000,1,1,52
ORD-00002,2023-01-01 03:30:16.923384,Farmacia,Rosario,Andreani,0.51,785.79,1309.63,1,Entregado,2,False,2023-01-03 03:30:16.923384,1,1,52
ORD-00003,2023-01-01 07:00:33.846769,Alimentos,GBA Norte,OCA,2.68,578.39,188.56,7,Entregado,7,True,2023-01-08 07:00:33.846769,1,1,52
ORD-00004,2023-01-01 10:30:50.770154,Farmacia,Córdoba,Correo Argentino,4.08,4031.79,343.55,5,Entregado,3,True,2023-01-04 10:30:50.770154,1,1,52
ORD-00005,2023-01-01 14:01:07.693538,Farmacia,GBA Oeste,PickIt,7.46,289.39,755.85,5,Entregado,5,True,2023-01-06 14:01:07.693538,1,1,52
ORD-00006,2023-01-01 17:31:24.616923,Indumentaria,GBA Oeste,Rappi Envíos,5.71,6118.52,1451.9,3,Entregado,2,True,2023-01-03 17:31:24.616923,1,1,52
ORD-00007,2023-01-01 21:01:41.540308,Alimentos,Córdoba,Andreani,2.14,5652.94,1954.26,3,Entregado,5,False,2023-01-06 21:01:41.540308,1,1,52
ORD-00008,2023-01-02 00:31:58.463692,Alimentos,Córdoba,OCA,3.81,878.1,1763.26,5,Devuelto,6,False,2023-01-08 00:31:58.463692,1,1,1
ORD-00009,2023-01-02 04:02:15.387077,Alimentos,Córdoba,OCA,4.84,6536.77,1482.51,5,En tránsito,5,True,2023-01-07 04:02:15.387077,1,1,1
ORD-00010,2023-01-02 07:32:32.310462,Farmacia,GBA Sur,PickIt,2.04,451.09,1083.5,5,Entregado,3,True,2023-01-05 07:32:32.310462,1,1,1
ORD-00011,2023-01-02 11:02:49.233846,Ferretería,GBA Oeste,OCA,0.37,2963.39,2196.13,2,Entregado,1,True,2023-01-03 11:02:49.233846,1,1,1
ORD-00012,2023-01-02 14:33:06.157231,Alimentos,Rosario,OCA,1.73,1115.21,1230.47,3,Entregado,3,True,2023-01-05 14:33:06.157231,1,1,1
